candidate_set	metric	count
broad	total_sites	9930
broad	passed_all_qc	9428
broad	sufficient_coverage_all_six	9091
broad	positive_raw_differences	7864
broad	became_zero_after_correction	1564
broad	failed_low_treated_coverage	402
broad	failed_low_control_coverage	356
broad	elevated_control_background	2325
broad	passed_FDR_0.05	7412
broad	training_eligible	9428
final	total_sites	3333
final	passed_all_qc	3328
final	sufficient_coverage_all_six	3327
final	positive_raw_differences	3327
final	became_zero_after_correction	1
final	failed_low_treated_coverage	1
final	failed_low_control_coverage	5
final	elevated_control_background	8
final	passed_FDR_0.05	3317
final	training_eligible	3328
