figure	metric	value	unit
figure1_current_binary_label_design	markduplicates_bams	6	samples
figure1_current_binary_label_design	sequence_length	101	nt
figure1_current_binary_label_design	center_index_zero_based	50	index
figure1_current_binary_label_design	minimum_usable_depth	20	reads
figure1_current_binary_label_design	minimum_covered_replicates_per_positive_group	2	replicates
figure1_current_binary_label_design	corrected_efficiency_threshold	0.10	fraction_strictly_greater
figure1_current_binary_label_design	control_median_maximum	0.02	fraction
figure1_current_binary_label_design	computational_positive_main	1513	sites
figure1_current_binary_label_design	computational_positive_high_confidence	1457	sites
figure1_current_binary_label_design	strict_computational_negative	2821734	sites
